jj,amount,label
1.169,148.929,BestIndividual
1.147,148.625,BestIndividual
1.154,147.469,BestIndividual
1.159,145.775,BestIndividual
1.155,144.493,BestIndividual
1.135,146.374,BestIndividual
1.122,146.415,BestIndividual
1.025,146.416,BestIndividual
0.976,147.493,BestIndividual
0.993,147.35,BestIndividual
0.994,147.348,BestIndividual
0.99,147.031,BestIndividual
0.984,147.031,BestIndividual
0.976,146.812,BestIndividual
0.977,146.557,BestIndividual
0.966,146.55,BestIndividual
1.02,142.418,BestIndividual
0.992,142.932,BestIndividual
0.98,142.912,BestIndividual
0.961,142.909,BestIndividual
0.94,142.896,BestIndividual
0.941,142.062,BestIndividual
0.969,141.727,BestIndividual
0.969,141.698,BestIndividual
0.989,141.666,BestIndividual
0.995,141.666,BestIndividual
0.972,141.644,BestIndividual
0.973,141.637,BestIndividual
0.955,141.62,BestIndividual
0.96,141.044,BestIndividual
0.982,140.48,BestIndividual
0.982,139.551,BestIndividual
0.988,139.548,BestIndividual
0.997,139.543,BestIndividual
0.992,139.528,BestIndividual
915.328,670.435,BestInitial
916.936,562.844,BestIndividual
867.182,547.562,BestIndividual
836.867,519.922,BestIndividual
982.829,514.577,BestIndividual
926.24,488.503,BestIndividual
1706.05,479.906,BestIndividual
846.484,479.819,BestIndividual
548.966,404.058,BestIndividual
1120.082,402.924,BestIndividual
622.999,399.535,BestIndividual
311.057,147.998,BestIndividual
309.063,140.105,BestIndividual
201.484,142.933,BestIndividual
103.147,129.956,BestIndividual
25.207,122.745,BestIndividual
16.689,130.094,BestIndividual
14.705,96.009,BestIndividual
13.932,123.569,BestIndividual
10.613,125.097,BestIndividual
10.548,96.442,BestIndividual
9.57,112.565,BestIndividual
9.466,106.52,BestIndividual
8.13,116.611,BestIndividual
7.67,116.963,BestIndividual
7.488,114.873,BestIndividual
6.597,136.463,BestIndividual
6.27,105.422,BestIndividual
5.014,117.021,BestIndividual
4.994,117.021,BestIndividual
4.99,116.836,BestIndividual
4.972,116.886,BestIndividual
4.928,114.695,BestIndividual
4.9,115.691,BestIndividual
4.895,117.638,BestIndividual
4.895,117.625,BestIndividual
4.894,117.588,BestIndividual
4.893,117.588,BestIndividual
4.887,117.253,BestIndividual
4.879,117.22,BestIndividual
4.832,115.091,BestIndividual
4.823,115.074,BestIndividual
4.819,116.826,BestIndividual
4.781,116.939,BestIndividual
4.727,117.098,BestIndividual
4.687,117.201,BestIndividual
4.658,142.66,BestIndividual
4.657,137.607,BestIndividual
4.593,135.64,BestIndividual
4.343,132.178,BestIndividual
3.891,131.263,BestIndividual
3.785,131.115,BestIndividual
3.784,131.115,BestIndividual
3.75,120.137,BestIndividual
3.717,120.334,BestIndividual
3.666,120.11,BestIndividual
3.544,119.72,BestIndividual
3.492,126.229,BestIndividual
