jj,amount,label
926.24,488.51,BestIndividual
1706.05,479.91,BestIndividual
846.49,479.82,BestIndividual
548.97,404.06,BestIndividual
1120.09,402.93,BestIndividual
623,399.54,BestIndividual
311.06,148,BestIndividual
309.07,140.11,BestIndividual
201.49,142.94,BestIndividual
103.15,129.96,BestIndividual
25.21,122.75,BestIndividual
16.69,130.1,BestIndividual
14.71,96.01,BestIndividual
13.94,123.57,BestIndividual
10.62,125.1,BestIndividual
10.55,96.45,BestIndividual
9.57,112.57,BestIndividual
9.47,106.52,BestIndividual
8.13,116.62,BestIndividual
7.67,116.97,BestIndividual
7.49,114.88,BestIndividual
6.27,105.43,BestIndividual
5.02,117.03,BestIndividual
4.99,116.84,BestIndividual
4.98,116.89,BestIndividual
4.93,114.7,BestIndividual
4.9,115.7,BestIndividual
4.9,117.64,BestIndividual
4.9,117.63,BestIndividual
4.89,117.26,BestIndividual
4.88,117.22,BestIndividual
4.84,115.1,BestIndividual
4.83,115.08,BestIndividual
4.82,116.83,BestIndividual
4.79,116.94,BestIndividual
4.73,117.1,BestIndividual
4.69,117.21,BestIndividual
4.66,142.66,BestIndividual
4.66,137.61,BestIndividual
4.6,135.64,BestIndividual
4.35,132.18,BestIndividual
3.9,131.27,BestIndividual
3.79,131.12,BestIndividual
3.75,120.14,BestIndividual
3.72,120.34,BestIndividual
3.67,120.11,BestIndividual
3.55,119.72,BestIndividual
3.5,126.23,BestIndividual
3.4,126.99,BestIndividual
3.38,126.97,BestIndividual
3.37,126.92,BestIndividual
3.31,126.81,BestIndividual
3.3,127.15,BestIndividual
3.29,126.6,BestIndividual
3.25,126.5,BestIndividual
3.25,126.51,BestIndividual
3.24,126.48,BestIndividual
3.21,126.42,BestIndividual
3,120.55,BestIndividual
2.86,120.24,BestIndividual
2.67,138.75,BestIndividual
2.58,141.73,BestIndividual
2.26,140.54,BestIndividual
2.06,144.78,BestIndividual
1.85,131.07,BestIndividual
1.8,131.86,BestIndividual
1.75,131.42,BestIndividual
1.65,139.61,BestIndividual
1.64,139.17,BestIndividual
1.63,139.17,BestIndividual
1.62,139.2,BestIndividual
1.59,146.47,BestIndividual
1.58,146.54,BestIndividual
1.54,139.31,BestIndividual
1.54,139.3,BestIndividual
1.49,133.54,BestIndividual
1.49,133.58,BestIndividual
1.48,133.24,BestIndividual
1.47,133.53,BestIndividual
1.46,133.22,BestIndividual
1.43,134.36,BestIndividual
